Position,Location,Gender,Education,Experience (Years),Salary
IAM Architect,Kolkata,Female,B.Com,8,833.057
Senior Analyst,Pune,Male,B.Com,11,1970.834
Senior Analyst,Kolkata,Female,B.Tech/B.E.,9,1332.952
Senior Software Engineer/.Net,New Delhi,Female,B.Tech/B.E.,12,1675.448
Sr. Data Ingestion/Analytics Engineer,New Delhi,Female,B.Com,18,592.503
"Sr. software engineer/.Net,Azure",New Delhi,Male,B.B.A/ B.M.S,15,878.357
Cloud Architect,New Delhi,Male,BCA,20,2488.793
Cloud Architect,Pune,Male,B.Tech/B.E.,10,2093.18
"Sr. software engineer/.Net,Azure",Noida,Male,BCA,20,1700.85
Sr. Data Platform Engineer,Kolkata,Female,B.B.A/ B.M.S,14,1054.688
QNXT technical role,Jaipur,Male,B.Tech/B.E.,19,705.349
QNXT technical role,Kolkata,Male,B.Tech/B.E.,6,812.66
QNXT technical role,Indore,Male,B.Com,5,1542.337
"Sr. software engineer/.Net,Azure",Bengaluru,Male,B.Sc,25,1201.635
Java Developer/Spring Boot,Hyderabad,Female,B.Com,17,889.504
QNXT technical role,Mumbai,Female,B.Com,21,1510.153
Tapestry Provider Analyst,Noida,Female,B.Tech/B.E.,11,2102.215
FHIR SME,Bilaspur,Male,BCA,12,1221.662
BA Healthcare/SQL,New Delhi,Male,B.Tech/B.E.,18,2138.369
BA Healthcare/SQL,Pune,Male,B.Tech/B.E.,14,789.599
BA Healthcare/SQL,New Delhi,Female,B.Tech/B.E.,14,798.944
Sr. .Net developer,Noida,Female,B.Com,16,1760.559
Sr. Data Platform Engineer,Pune,Male,B.Tech/B.E.,7,2292.185
Associate Lead Analys,Hyderabad,Male,B.Tech/B.E.,6,1700.968
Program Manager,Mumbai,Male,B.Com,17,1718.251
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Com,11,817.399
QNXT technical role,Navi Mumbai,Male,B.Tech/B.E.,21,1063.601
Cloud Architect,New Delhi,Male,BCA,16,987.656
Scrum Master,Guwahati,Male,B.Tech/B.E.,11,1896.642
Cloud Architect,Bengaluru,Male,B.B.A/ B.M.S,20,1164.233
Scrum Master,Bengaluru,Female,B.Com,6,1963.577
Scrum Master,Chennai,Male,B.Sc,17,1171.848
QA Engineer,New Delhi,Male,B.Tech/B.E.,8,642.646
QA Engineer,Bengaluru,Female,BCA,7,1142.195
Senior Analyst - UI/UX,New Delhi,Male,B.Tech/B.E.,26,978.52
QA Engineer,Kolkata,Female,B.B.A/ B.M.S,12,1600.494
"Tech Lead, DevOps, AWS",Pune,Female,B.Tech/B.E.,21,2415.63
"Tech Lead, DevOps, AWS",New Delhi,Male,B.Tech/B.E.,21,1458.717
GCP Engineer,New Delhi,Male,B.Sc,16,1615.136
Business Analyst,New Delhi,Male,BCA,23,2297.058
Business Analyst,Nagpur,Male,B.A,15,2213.745
FHIR consultant,Noida,Female,B.Tech/B.E.,19,878.001
QA Analyst,Mumbai,Male,B.Sc,21,2056.298
QA Analyst,New Delhi,Male,B.Tech/B.E.,23,2029.739
FileNet Admin,Tiruchirapalli,Male,B.Tech/B.E.,18,1364.119
FileNet Admin,Mumbai,Female,BCA,21,2026.301
QNXT technical SME,New Delhi,Male,B.Sc,15,1395.454
Project Manager,Pune,Male,B.Tech/B.E.,22,678.908
Sr. Software Enginee/ETL SQL PowerBI,Bengaluru,Female,BCA,16,1398.537
Sr. Software Enginee/ETL SQL PowerBI,Pune,Male,B.Tech/B.E.,11,2037.476
Sr. Program manager,Noida,Female,B.Com,14,1244.762
QNXT testing SME,Bengaluru,Male,B.Tech/B.E.,12,1379.013
BA Lead/Project manager,Noida,Male,B.Tech/B.E.,23,874.206
BA Lead/Project manager,Dindigul,Male,B.Com,23,1725.883
QA/SDET,Noida,Male,B.Sc,7,1854.774
QA/SDET,Mumbai,Male,B.Sc,18,908.939
QA Engineer,Bengaluru,Female,B.Tech/B.E.,6,859.328
Tech Lead : Ab-initio/ ETL powerBI,Siliguri,Male,Diploma,19,2302.344
Lead QA,Kolkata,Male,BCA,24,1325.828
Product Manager,Hyderabad,Male,B.Tech/B.E.,8,1708.653
RPA Engineer,Bengaluru,Male,BCA,28,578.256
Data Engineer / SQL/SSiS/Python,New Delhi,Male,B.Tech/B.E.,5,2251.874
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,28,1995.902
QNXT Claims and Enrollment,New Delhi,Male,B.Sc,12,1572.016
Azure architect,Noida,Male,Diploma,27,802.759
QNXT Claims and Enrollment,Hyderabad,Female,B.Tech/B.E.,21,2414.782
QNXT Claims and Enrollment,Gurugram,Male,B.B.A/ B.M.S,9,1741.757
Provider Disputes Resource,"Noida, Delhi - Uttar Pradesh",Female,B.Sc,13,1521.377
Provider Disputes Resource,Bengaluru,Female,B.Tech/B.E.,26,930.763
Business Analyst/HRP,Pune,Male,B.A,20,1224.436
Human Resources Associate,Mumbai,Male,B.Com,8,2340.39
Human Resources Associate,Noida,Male,B.Tech/B.E.,5,2037.996
Incident manager,New Delhi,Male,B.Tech/B.E.,21,1139.397
Business Analyst/HRP,Navi Mumbai and pune - Maharashtra,Male,B.Sc,23,1555.545
Technical Lead/SQL/SSIS/hadoop,Bengaluru,Female,B.A,25,1800.392
Technical Lead/SQL/SSIS/hadoop,Lucknow,Female,B.Sc,8,2414.826
GCP Cloud Architect,Ahmedabad,Male,BCA,10,1455.96
Clinical Data/DevOps,Noida,Female,B.Tech/B.E.,14,1252.936
Epic Implementation,Bengaluru,Female,B.Tech/B.E.,24,1806.704
Epic Implementation,New Delhi,Female,B.Tech/B.E.,9,2444.598
QA manager,Chennai,Male,B.Sc,27,755.907
"Sr. Software/.Net, JavaScript",Jamshedpur,Male,B.Tech/B.E.,22,938.401
Enterprise Architect,Pune,Male,B.Com,11,977.804
Enterprise Architect,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,10,1794.971
Azure Architect,New Delhi,Male,B.Sc,7,1142.753
Azure Architect,Bengaluru,Female,B.Sc,12,1501.797
Enterprise Architect,Bengaluru,Female,B.Tech/B.E.,7,535.06
Reimbursement SME,Chennai,Female,B.Tech/B.E.,25,1553.127
Reimbursement SME,Pune,Female,B.Com,17,705.911
"QA Eng, Phoenix, AZ",Bengaluru,Male,B.Tech/B.E.,10,780.456
"QA Eng, Phoenix, AZ",Chennai,Female,BCA,21,2138.958
QA manager,Noida,Female,B.Tech/B.E.,11,545.329
QA manager,Mumbai,Female,B.A,11,653.662
Product Owner,Visakhapatnam,Female,Diploma,27,663.339
Office Manager,Mohali,Male,B.Tech/B.E.,21,1316.686
Office Manager,Bengaluru,Male,B.Com,6,1335.145
Product Owner,Kolkata,Female,B.Com,21,850.189
.Net /JavaScript,Bengaluru,Male,B.A,10,2118.969
Project Manager/ QA Manager,Kanpur,Female,B.Com,26,2061.623
Senior Analyst - RPA,Bengaluru,Male,B.A,24,751.269
Azure Architect,Gurugram,Male,B.Tech/B.E.,5,2240.775
Clinical Data/DevOps,Lucknow,Male,B.Com,11,1861.183
Azure architect,Gurugram,Male,B.Tech/B.E.,6,1869.864
Informatica engineer,Nagpur,Male,B.Tech/B.E.,13,1328.761
Senior Analyst - RPA,Bengaluru,Female,B.Sc,13,1918.093
Product Manager/QA,Nagpur,Male,B.Tech/B.E.,19,2010.495
Windchill Sol Architect,Pune,Female,Diploma,7,1276.561
FrontEnd JavaScript,New Delhi,Female,BCA,19,2202.881
.Net /JavaScript,New Delhi,Male,B.Tech/B.E.,16,882.796
.Net /JavaScript,Mumbai,Male,B.Tech/B.E.,12,1796.696
DevOps Eng,Noida,Female,B.Tech/B.E.,6,1483.245
DevOps Eng,Noida,Male,B.Com,9,986.541
QNXT Benefits/COB SME,Patna,Male,B.A,16,822.544
Technical SME - Edifec,Bengaluru,Female,B.Com,17,2157.051
Technical SME - Edifec,Kurnool,Female,B.Com,25,2425.423
QNXT Configuration SME,work from home banglore - Karnataka,Female,B.B.A/ B.M.S,9,2055.835
Java Developer,Hyderabad,Female,B.A,8,1640.26
Java Developer,Hyderabad,Male,BCA,22,2273.842
.Net Developer,Noida,Male,B.A,14,2216.696
GCP Architect,Noida,Male,B.Tech/B.E.,25,598.194
DevOps Product Owner Role,Noida,Female,B.Tech/B.E.,22,854.607
Project manager,New Delhi,Male,B.A,8,1870.532
IAM Expert,Dehli - Delhi,Female,B.B.A/ B.M.S,20,1039.761
GCP Architect,Hyderabad,Male,Diploma,22,1683.475
Cloud IAM Expert,Noida,Male,B.Tech/B.E.,11,1050.071
.Net Architect,Dhanbad,Male,B.Tech/B.E.,20,608.0
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,19,2180.848
Enterprise Architect,New Delhi,Male,B.Tech/B.E.,22,1480.718
Enterprise Architect,Bengaluru,Male,B.A,9,780.329
Salesforce Architect,Pune,Female,B.Tech/B.E.,7,1483.747
Account Manager,Bengaluru,Female,B.Tech/B.E.,17,2467.795
Account Manager,Ghaziabad,Female,B.Com,17,2316.375
Product Manager/DevOps/ IAM/PM,Mohali,Male,B.Sc,27,1843.298
GCP Solution Engineer,Faridabad,Female,Diploma,12,804.674
"GCP Data Engineer/Spark,Python",New Delhi,Male,B.Com,23,1011.333
.Net Architect,Hyderabad,Female,B.Sc,9,582.464
"GCP Data Engineer/Spark,Python",New Delhi,Male,Diploma,11,1011.002
Cloud/ DevOps Engineer,Noida,Male,B.Tech/B.E.,28,1258.974
Account Manager/ HealthCare(Payer/Provider),Chennai,Male,B.Tech/B.E.,6,1652.571
Account Manager/ HealthCare(Payer/Provider),New Delhi,Female,Diploma,28,1784.264
Account Manager/ HealthCare(Payer/Provider),New Delhi,Male,B.Tech/B.E.,6,2443.835
Account Manager/ HealthCare(Payer/Provider),Hyderabad,Male,B.A,9,2199.608
"API, C#, Selenium Testing",Bengaluru,Female,B.Sc,12,1844.907
"API, C#, Selenium Testing",Lucknow,Male,B.Tech/B.E.,15,2487.086
Cloud Engineer,New Delhi,Male,B.Tech/B.E.,24,2143.072
SQL Developer,Gurugram,Male,Diploma,14,2475.752
Infor M3 Technical,Pune,Male,B.Tech/B.E.,13,2040.819
Database Tester,Paonta Sahib,Female,B.Tech/B.E.,6,1348.59
Database Tester,Gurugram,Male,B.A,8,1082.026
QNXT Technical SME,Pune,Male,BCA,9,1757.813
Java Backend Developer,Hyderabad,Male,B.Com,24,1517.253
QNXT Technical SME,Hyderabad,Male,B.B.A/ B.M.S,20,587.655
QNXT Technical SME,Noida,Male,B.Tech/B.E.,25,2002.624
Technical Program Manager,Bengaluru,Female,B.Com,16,1446.963
QNXT technical Role,Gurugram,Male,B.Tech/B.E.,12,1825.763
QNXT technical Role,Bengaluru,Male,B.A,20,1581.824
Project Coordinator(QNXT),Bengaluru,Female,B.Sc,24,1095.608
Project Coordinator(QNXT),Kolkata,Male,B.Tech/B.E.,5,569.786
HealthCare System Analyst,Noida,Female,B.Sc,15,1191.142
Systems Analyst (QNXT),London - United Kingdom (UK),Male,B.Com,28,1325.478
Systems Analyst (QNXT),Pune,Male,B.Sc,15,1916.954
Systems Analyst (QNXT),Bengaluru,Female,B.Tech/B.E.,8,854.064
Systems Analyst (QNXT),Bahadurgarh,Male,B.Tech/B.E.,6,578.682
Informatica Developer,Pune,Female,B.Tech/B.E.,27,1379.842
Technical Writer (QNXT),Srinagar,Female,B.Sc,27,1966.278
Informatica Developer,"Pune, kolhapur - Maharashtra",Female,B.Tech/B.E.,16,2301.642
Database Administrator,New Delhi,Female,B.A,16,1516.972
Database Administrator,New Delhi,Male,B.Tech/B.E.,7,548.047
"Business analysts(Provider, Payor, RCM)",Lucknow,Female,BCA,16,1283.751
PowerBi/ETL/Azure/DataWarehouse,Noida,Male,B.A,20,1250.257
PowerBi/ETL/Azure/DataWarehouse,Bengaluru,Male,B.Com,15,1225.241
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Com,16,2047.397
"DevOps/azure, python, java, terraform",Hyderabad,Male,BCA,24,1063.016
"DevOps/azure, python, java, terraform",Pune,Male,B.Tech/B.E.,14,2393.549
"Facets, Networx, Business Analyst",New Delhi,Female,B.Tech/B.E.,25,1448.888
"Facets, Networx, Business Analyst",Rajahmundry,Female,B.Tech/B.E.,8,2371.516
"Facets, Networx, Business Analyst",Faridabad,Female,B.Tech/B.E.,22,1988.284
"Facets, Networx, Business Analyst",New Delhi,Male,B.Tech/B.E.,12,661.279
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Tech/B.E.,25,2196.469
Provider Dispute/Claims,New Delhi,Male,B.A,5,2458.249
QNXT/Business Analyst/QA/SQL,Uttar Pradesh - Uttar Pradesh,Female,B.Tech/B.E.,22,2172.076
"GCP Solution Eng/GKE, python, sql",Bhopal,Female,B.Tech/B.E.,16,1750.189
"GCP Solution Eng/GKE, python, sql",Varanasi,Female,B.Tech/B.E.,6,2381.053
Facets EDM,Bengaluru,Male,B.Tech/B.E.,7,2117.099
Hadoop Tester/Bigdata tester,Hyderabad,Female,B.Tech/B.E.,5,1592.561
"Cloud engineer/ Gcp,kubernetes",Bengaluru,Male,BCA,18,826.939
"Big Data Tester/ Hadoop, Azure",Mumbai,Male,B.Sc,27,1019.514
"Big Data Tester/ Hadoop, Azure",MEERUT - United States (USA),Male,B.Sc,26,794.0
Human Resources Associate,New Delhi,Male,B.A,11,1251.626
Human Resources Associate,Pune,Male,B.Com,21,623.617
"Big Data Lead/ Hive, Hadoop, python ",Noida,Female,B.Sc,9,915.391
"EPIC Trainer/ EMR, Tapestry",Noida,Female,B.Com,12,2024.984
".Net Lead/Angular, JavaScript",Kashipur,Male,B.Com,8,1120.742
"Network Engineer , Firewall, NextGen",Bengaluru,Male,BCA,6,554.511
"Bigdata tester, Hadoop, Azure",Noida,Female,B.A,15,1844.74
Oracle PL/SQL developer,Noida,Female,B.A,7,2258.895
SFDC Mulesoft Integration lead Developer,Sathyamangalam,Female,BCA,19,1783.524
SFDC Mulesoft Integration lead Developer,Pune,Male,B.Com,6,712.445
"EPIC Role, Cadence, My Chart, Cogito ",Ranchi - Madhya Pradesh,Female,B.Sc,16,2037.291
"HRP Pricing resources, HealthRules",Coimbatore,Male,B.Com,23,2207.956
"DevOps manager, SAAS, Linux",Gurugram,Male,Diploma,14,879.639
"Tech Support, Incident manager",Bengaluru,Female,B.Com,7,1598.332
"Tech Support, Incident manager",Chandigarh,Male,B.Com,5,539.46
SAP S4 HANA FICO Consultant,Noida,Male,B.Sc,21,2300.21
Business Analyst  AML/KYC,Mumbai,Female,B.Com,9,1028.278
Oracle PL/SQL developer,Bengaluru,Female,BCA,15,1167.76
DevOps Infrastructure Eng,Hyderabad,Female,B.Tech/B.E.,17,2297.251
Facets Technical Consultant ,Kolkata,Male,B.Tech/B.E.,28,718.306
Cerner Project manager,Bengaluru,Female,B.Tech/B.E.,5,2429.554
"DevOps manager, SAAS, FedRAMP, FISMA",Gurugram,Female,B.Com,12,865.345
Human resource Benefits associate,New Delhi,Male,B.Tech/B.E.,23,1510.908
"IT Support, Network, Server",New Delhi,Female,B.Tech/B.E.,10,2240.698
"IT Support, Network, Server",Kolkata,Male,B.Tech/B.E.,28,1807.102
QNXT Testing Manager/Lead,Noida,Female,B.A,5,740.061
QNXT Testing Manager/Lead,Durgapur,Male,BCA,14,1108.373
.Net Developer  ,New Delhi,Female,B.Tech/B.E.,7,1282.043
.Net Developer  ,Pune,Male,B.Tech/B.E.,6,2337.1
"EPIC Tapestry Provider data, QNXT, Facets",Mumbai,Female,B.Com,15,1721.237
Caboodle Developer,Mumbai,Female,B.Tech/B.E.,9,705.186
"Automation QA .NET, Angular, C#, Selenium",Pune,Male,B.A,6,1209.856
BI Cognos Developer,North Goa,Female,B.Sc,22,1016.436
"SQL Developer, HRP",Patna,Female,BCA,5,551.219
Cognos Developer,Mumbai,Female,Diploma,7,1981.625
Advance Maths Teacher,New Delhi,Male,B.Tech/B.E.,12,1930.0
Maths Teacher,Pune,Male,B.Sc,12,1392.856
Maths Teacher,New Delhi,Male,BCA,21,688.984
Research Analyst,Kolkata,Male,BCA,15,2170.896
Maths Teacher,Pune,Male,B.Tech/B.E.,8,1382.564
Maths Teacher,New Delhi,Male,B.Tech/B.E.,10,800.433
Advance Maths Teacher,Bengaluru,Female,B.Com,23,1142.389
Maths Teacher,Kolkata,Female,Diploma,14,997.365
Maths Teacher,Gwalior,Male,B.Tech/B.E.,18,1067.468
Maths Teacher,Noida,Female,B.Tech/B.E.,14,2323.838
Advance Maths Teacher,New Delhi,Male,B.B.A/ B.M.S,7,2474.655
Research Analyst,Bhiwandi,Male,B.Sc,26,1778.809
Research Analyst,New Delhi,Male,B.A,20,532.41
Maths Teacher,New Delhi,Male,B.Tech/B.E.,25,1806.188
Advance Maths Teacher,Gwalior,Male,BCA,28,1272.054
Research Analyst,Bengaluru,Male,B.Com,5,1597.811
Research Analyst,Bengaluru,Male,B.Com,15,2457.504
Research Analyst,Noida,Male,B.Sc,8,2236.449
Research Analyst,Bengaluru,Female,B.A,17,2017.013
Advance Maths Teacher,Noida,Male,B.Com,26,1812.467
Research Analyst,Pune,Male,B.Tech/B.E.,11,830.063
Research Analyst,Pune,Female,B.Tech/B.E.,8,2206.645
Research Analyst,Noida,Male,B.A,18,1304.85
Maths Teacher,Bengaluru,Male,BCA,5,1617.207
Research Analyst,New Delhi,Male,BCA,10,2130.784
Research Analyst,Mumbai,Female,B.Tech/B.E.,12,1657.979
Research Analyst,Pune,Male,BCA,13,968.911
Research Analyst,New Delhi,Male,B.Sc,19,1991.056
Research Analyst,Mumbai,Female,B.Tech/B.E.,21,945.414
Research Analyst,Meerut,Male,B.Tech/B.E.,6,1348.353
Research Analyst,New Delhi,Male,B.Sc,24,2345.967
Research Analyst,Gudivada,Male,B.Com,14,1826.113
Maths Teacher,New Delhi,Female,B.Tech/B.E.,25,1205.394
Maths Teacher,Siliguri,Female,B.Tech/B.E.,26,1683.841
Research Analyst,nioda - Uttar Pradesh,Male,B.A,21,698.544
Research Analyst,Noida,Male,BCA,9,758.281
Research Analyst,New Delhi,Female,B.B.A/ B.M.S,12,833.359
Maths Teacher,Hyderabad,Female,B.A,15,1790.518
Maths Teacher,Pune,Male,B.A,5,1013.549
Research Analyst,Noida,Male,B.Sc,25,1074.945
Maths Teacher,Noida,Female,B.Com,7,2401.547
Maths Teacher,Gurugram,Female,B.Tech/B.E.,24,1265.332
Research Analyst,New Delhi,Male,Diploma,14,620.841
math /Research Analyst,New Delhi,Male,B.A,21,777.869
Research Analyst,Dehradun,Male,B.A,6,1497.2
Maths Teacher,Bengaluru,Male,B.Tech/B.E.,10,2386.009
Advance Maths Teacher,Noida,Male,BCA,15,2476.278
Research Analyst,New Delhi,Female,B.Tech/B.E.,12,533.191
Research Analyst,Kolkata,Male,B.A,12,1263.31
Research Analyst,Erode,Male,B.Tech/B.E.,5,685.356
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,1627.468
Research Analyst,New Delhi,Male,B.Tech/B.E.,10,2186.04
Advance Maths Teacher,New Delhi,Male,B.Tech/B.E.,8,633.34
Research Analyst,Kolkata,Male,B.Tech/B.E.,26,1251.058
Research Analyst,New Delhi,Female,B.Tech/B.E.,16,1652.741
Research Analyst,New Delhi,Male,B.Tech/B.E.,17,515.489
Research Analyst,Noida,Female,B.Com,16,1668.249
Research Analyst,New Delhi,Female,B.Tech/B.E.,10,1249.104
Research Analyst,New Delhi,Male,B.Com,15,788.875
Research Analyst,New Delhi,Male,B.Sc,10,809.243
Research Analyst,Mumbai,Female,B.Sc,9,2469.183
Advance Maths Teacher,New Delhi,Female,BCA,22,1493.992
Advance Maths Teacher,Chennai,Male,B.Tech/B.E.,5,766.924
Advance Maths Teacher,New Delhi,Male,B.Sc,6,1056.495
Research Analyst,Hyderabad,Male,B.Tech/B.E.,24,1572.68
Research Analyst,New Delhi,Male,BCA,14,1927.489
Research Analyst,Pune,Female,B.A,18,1762.519
Research Analyst,Bengaluru,Female,B.B.A/ B.M.S,20,551.137
Research Analyst,New Delhi,Male,B.Tech/B.E.,13,1428.812
Research Analyst,Bengaluru,Male,B.A,15,2271.572
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,899.342
Advance Maths Teacher,Kolkata,Male,B.A,8,1931.716
Research Analyst,New Delhi,Female,Diploma,18,1649.713
Research Analyst,New Delhi,Female,B.Tech/B.E.,15,1652.443
Research Analyst,Kolkata,Male,BCA,8,2279.947
Advance Maths Teacher,New Delhi,Female,B.Tech/B.E.,19,1663.943
Research Analyst,Pune,Male,B.Tech/B.E.,20,2359.64
Research Analyst,Noida,Female,B.Tech/B.E.,25,2325.612
Research Analyst,New Delhi,Male,B.Sc,23,1499.593
Advance Maths Teacher,Bhubaneswar,Female,B.Tech/B.E.,21,553.169
Research Analyst,New Delhi,Male,B.Tech/B.E.,21,1257.089
Research Analyst,New Delhi,Female,B.Tech/B.E.,17,1462.569
Research Analyst,New Delhi,Female,B.Sc,26,1972.994
Research Analyst,Noida,Female,BCA,13,1264.979
Research Analyst,Hyderabad,Male,B.Com,11,1025.725
ServiceNow,Chennai,Female,B.Tech/B.E.,14,1071.751
Research Analyst,Rudrpur - Uttarakhand,Female,B.Com,19,766.245
Research Analyst,Kolkata,Female,BCA,28,2002.16
ServiceNow,Hyderabad,Female,B.B.A/ B.M.S,22,598.312
Research Analyst,Bengaluru,Female,B.Tech/B.E.,23,1871.892
Research Analyst,Bengaluru,Male,BCA,17,556.612
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,1158.316
Research Analyst,Bengaluru,Female,B.Com,28,1816.082
ServiceNow,Noida,Male,B.Com,17,2139.392
Research Analyst,Noida,Male,B.Tech/B.E.,21,1820.547
Research Analyst,Hyderabad,Female,B.Tech/B.E.,6,2441.052
Research Analyst,Mumbai,Male,B.Tech/B.E.,5,1179.26
Research Analyst,New Delhi,Male,B.Tech/B.E.,18,1446.629
Research Analyst,Mumbai,Male,B.Tech/B.E.,10,1308.43
Research Analyst,Gurugram,Male,B.Sc,5,2377.383
Research Analyst,Pune,Male,B.Tech/B.E.,6,2206.343
Research Analyst,Mumbai,Male,B.A,14,1576.398
Research Analyst,New Delhi,Male,B.Com,28,1954.773
ServiceNow,Hyderabad,Male,B.Sc,22,1026.852
Research Analyst,New Delhi,Male,B.Sc,12,2147.291
Research Analyst,Gurugram,Male,B.Com,21,1577.275
Research Analyst,Kanpur,Male,B.A,18,1668.337
Research Analyst,Noida,Male,B.Sc,22,1845.233
Research Analyst,New Delhi,Male,B.Sc,7,621.536
Research Analyst,Dehradun,Male,B.Com,21,671.437
Research Analyst,New Delhi,Male,B.Tech/B.E.,20,1747.631
Research Analyst,New Delhi,Female,B.A,14,2468.043
Research Analyst,Pune,Male,B.Sc,13,1011.343
Research Analyst,Noida,Male,B.Tech/B.E.,15,1989.299
Research Analyst,Bengaluru,Male,B.Tech/B.E.,12,1287.967
Research Analyst,New Delhi,Female,B.Tech/B.E.,26,1577.892
Research Analyst,Pune,Male,B.Sc,20,703.837
Research Analyst,Hyderabad,Female,BCA,28,1847.712
Research Analyst,Pune,Female,B.Tech/B.E.,12,811.807
Research Analyst,New Delhi,Female,B.Tech/B.E.,7,1660.908
Research Analyst,New Delhi,Male,B.A,9,1263.513
Research Analyst,Kolkata,Female,B.Tech/B.E.,23,1491.841
ServiceNow,Pune,Male,B.Tech/B.E.,25,1775.833
Research Analyst,Nagpur,Male,B.Tech/B.E.,5,1328.705
Research Analyst,Bengaluru,Female,B.Tech/B.E.,27,1716.199
Research Analyst,Lucknow,Male,B.Com,12,1838.184
Research Analyst,Pune,Female,B.Tech/B.E.,16,542.958
Research Analyst,Faridabad,Female,B.Sc,11,844.657
Research Analyst,New Delhi,Male,B.Sc,12,673.213
Research Analyst,Pune,Female,B.Sc,17,1943.724
Research Analyst,New Delhi,Male,BCA,7,1598.847
Research Analyst,Bengaluru,Male,B.Sc,25,978.803
Research Analyst,Dehradun,Male,B.A,20,1395.529
Research Analyst,New Delhi,Male,B.Tech/B.E.,28,1429.361
Research Analyst,New Delhi,Male,B.Tech/B.E.,7,624.721
Research Analyst,Chennai,Male,B.Com,24,2418.362
Research Analyst,New Delhi,Female,BCA,28,2484.017
ServiceNow,Bengaluru,Male,B.Tech/B.E.,9,1816.204
Research Analyst,Bengaluru,Male,BCA,23,1295.155
ServiceNow,Pune,Male,B.A,7,1051.623
Research Analyst,Pune,Male,B.Tech/B.E.,14,2309.823
Research Analyst,Mumbai,Female,B.Tech/B.E.,22,1883.615
Research Analyst,Ghaziabad,Male,B.B.A/ B.M.S,24,1002.394
Research Analyst,New Delhi,Female,B.Com,28,1074.939
Research Analyst,Bengaluru,Male,BCA,26,761.415
Research Analyst,Pune,Female,B.Sc,17,1170.269
Research Analyst,Chennai,Male,B.Com,14,2421.056
Research Analyst,Gurugram,Male,B.A,23,1813.84
Research Analyst,Hyderabad,Male,B.B.A/ B.M.S,8,1651.301
Research Analyst,Pune,Male,B.Sc,19,1042.432
Research Analyst,Pune,Male,B.Tech/B.E.,28,577.648
Research Analyst,Chennai,Male,B.Sc,23,2394.017
Python with react,Chennai,Male,B.Sc,21,1244.103
Python with react,Chennai,Female,B.A,7,599.19
